iter	Passed	Remaining
0	1	118
1	2	136
2	4	142
3	6	147
4	7	150
5	9	153
6	11	153
7	13	151
8	14	149
9	16	146
10	17	145
11	19	144
12	21	142
13	23	142
14	24	140
15	26	139
16	28	137
17	29	134
18	31	132
19	32	129
20	33	127
21	35	125
22	36	123
23	38	121
24	39	118
25	40	116
26	42	113
27	43	111
28	44	109
29	45	107
30	47	105
31	48	103
32	49	101
33	51	99
34	52	97
35	53	94
36	54	92
37	55	90
38	56	88
39	57	86
40	59	85
41	59	82
42	60	80
43	61	78
44	62	76
45	63	74
46	64	73
47	65	71
48	66	69
49	67	67
50	68	66
51	69	64
52	70	62
53	71	61
54	72	59
55	73	57
56	74	56
57	75	54
58	76	53
59	77	51
60	78	50
61	79	48
62	80	47
63	81	45
64	82	44
65	83	42
66	84	41
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	92	29
76	93	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	98	18
84	99	17
85	100	16
86	101	15
87	102	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	7
93	106	6
94	107	5
95	108	4
96	109	3
97	109	2
98	110	1
99	111	0
